City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kabwe,-14.4469,28.4464,293.22,77,62,2.39,ZM,1706982210
84,santa cruz,-17.8,-63.1667,308.18,46,20,4.63,BO,1706982061
85,port elizabeth,-33.918,25.5701,297.65,94,100,3.09,ZA,1706982027
86,banff,51.1762,-115.5698,273.36,100,100,0.0,CA,1706982210
87,val-des-monts,45.6501,-75.666,271.9,73,100,1.03,CA,1706982210
88,tiksi,71.6872,128.8694,237.17,100,100,2.16,RU,1706982133
89,upata,8.0086,-62.3989,309.54,27,39,2.57,VE,1706982210
90,iqaluit,63.7506,-68.5145,248.0,69,20,5.14,CA,1706982145
91,saipan,15.1355,145.701,299.54,73,0,9.77,MP,1706982210
92,christchurch,-43.5333,172.6333,281.75,86,37,1.03,NZ,1706981925
93,emerald,-23.5333,148.1667,296.12,87,100,5.38,AU,1706982054
94,antofagasta,-23.65,-70.4,298.75,68,13,3.96,CL,1706982211
95,blackmans bay,-43.0167,147.3167,288.44,86,100,2.24,AU,1706982211
96,namibe,-15.1961,12.1522,298.7,85,97,1.97,AO,1706982211
97,faya-largeau,17.9257,19.1043,291.25,15,3,7.34,TD,1706982073
98,morant bay,17.8815,-76.4093,302.94,65,29,1.53,JM,1706982211
99,hastings,50.8552,0.5729,285.36,44,100,7.59,GB,1706982211
100,zaozersk,69.4005,32.4476,260.87,94,99,2.3,RU,1706982211
101,chinchilla,-26.75,150.6333,296.49,84,17,0.89,AU,1706982211
102,whitehorse,60.7161,-135.0538,243.58,76,75,2.06,CA,1706982212
103,avarua,-21.2078,-159.775,299.18,94,75,3.09,CK,1706982149
104,haci zeynalabdin,40.6233,49.5586,279.23,73,94,4.52,AZ,1706982212
105,fuji,35.1667,138.6833,279.24,94,100,0.84,JP,1706982212
106,al bardiyah,31.7561,25.0865,287.94,54,23,5.11,LY,1706982212
107,chibougamau,49.9168,-74.3659,265.94,79,100,4.12,CA,1706982212
108,chonchi,-42.6128,-73.8092,293.9,39,49,1.0,CL,1706982111
109,la passe,45.5549,-0.8967,280.28,90,32,2.7,FR,1706982212
110,faaa,-17.55,-149.6,302.13,65,40,2.06,PF,1706982212
111,prabumulih,-3.45,104.25,296.48,98,93,1.14,ID,1706982213
112,kaa-khem,51.6833,94.7333,248.38,99,100,0.46,RU,1706982213
113,kuqa,41.7278,82.9364,270.11,75,43,1.37,CN,1706982213
114,karratha,-20.7377,116.8463,300.23,75,44,9.24,AU,1706982213
115,vorgashor,67.5833,63.95,254.5,91,100,4.61,RU,1706982213
116,afaahiti,-17.75,-149.2833,301.08,78,79,5.11,PF,1706982213
117,mezhdurechenskiy,59.6,65.9333,254.79,99,85,2.89,RU,1706982213
118,karukh,34.4811,62.5863,274.33,61,96,1.89,AF,1706982213
119,papatowai,-46.5619,169.4708,282.28,71,88,4.11,NZ,1706982214
120,nuuk,64.1835,-51.7216,261.49,61,20,6.17,GL,1706982115
121,howrah,22.5892,88.3103,293.15,77,0,2.06,IN,1706982052
122,arraial do cabo,-22.9661,-42.0278,304.13,74,75,8.75,BR,1706982137
123,mount pearl,47.5166,-52.7813,271.4,87,100,7.72,CA,1706982126
124,lospalos,-8.5186,127.0025,296.66,93,72,1.98,TL,1706982011
125,kingston,17.997,-76.7936,302.68,60,20,2.57,JM,1706982014
126,nantucket,41.2835,-70.0995,273.23,71,100,12.38,US,1706981984
127,fort bragg,35.139,-79.006,284.62,47,0,4.12,US,1706982116
128,iskateley,67.6803,53.1512,260.38,86,24,6.26,RU,1706982214
129,jamestown,42.097,-79.2353,278.16,76,0,1.54,US,1706982157
130,susuman,62.7833,148.1667,248.14,94,100,1.79,RU,1706982148
131,connersville,39.6412,-85.1411,280.21,82,4,3.13,US,1706982215
132,oban,56.4127,-5.4706,280.03,79,97,8.67,GB,1706982215
133,thompson,55.7435,-97.8558,271.24,100,100,4.12,CA,1706982131
134,ribeira grande,38.5167,-28.7,291.37,77,20,7.72,PT,1706982131
135,villa maria grande,-31.6656,-59.9018,314.26,19,4,0.83,AR,1706982215
136,newton,42.337,-71.2092,276.38,58,0,5.66,US,1706982215
137,viedma,-40.8135,-62.9967,294.28,31,2,10.48,AR,1706982215
138,gizo,-8.103,156.8419,301.41,79,100,2.99,SB,1706982215
139,argostolion,38.1811,20.489,284.68,50,1,4.24,GR,1706982215
140,flin flon,54.7682,-101.865,272.06,100,100,3.09,CA,1706982030
141,tangalle,6.024,80.7911,297.45,88,61,3.23,LK,1706982215
142,axim,4.8699,-2.2405,301.33,73,52,2.91,GH,1706982216
143,la sarre,48.8002,-79.1996,270.36,83,55,3.66,CA,1706982104
144,san patricio,28.017,-97.5169,293.8,50,34,6.5,US,1706982121
145,nacaome,13.5361,-87.4875,306.06,38,1,3.26,HN,1706982216
146,cabo san lucas,22.8909,-109.9124,297.93,48,0,8.75,MX,1706982216
147,galashiels,55.6146,-2.807,280.97,76,77,8.52,GB,1706982216
148,buka,40.8108,69.1986,275.41,64,100,1.45,UZ,1706982216
149,vallegrande,-18.4897,-64.1069,293.15,57,40,1.12,BO,1706982216
150,okha,53.5739,142.9478,250.04,88,7,5.98,RU,1706982034
151,mandalgovi,45.7625,106.2708,253.6,84,59,2.69,MN,1706982217
152,port mathurin,-19.6833,63.4167,299.93,72,15,6.95,MU,1706982217
153,sierra grande,-41.606,-65.3557,295.37,14,53,10.04,AR,1706982217
154,gouyave,12.1646,-61.7296,301.58,74,20,7.72,GD,1706982217
155,acarau,-2.8856,-40.12,301.21,79,93,8.98,BR,1706982217
156,mount gambier,-37.8333,140.7667,286.3,94,2,1.71,AU,1706982217
157,gamba,-2.65,10.0,300.21,83,77,3.11,GA,1706982023
158,antsiranana,-12.2787,49.2917,298.77,89,92,0.56,MG,1706982217
159,sitka,57.0531,-135.33,274.09,80,100,2.57,US,1706981966
160,mozarlandia,-14.7447,-50.5706,301.39,63,99,2.36,BR,1706982217
161,pacocha,-17.5833,-71.3333,298.23,65,0,3.6,PE,1706982218
162,escanaba,45.7453,-87.0646,272.32,100,100,4.12,US,1706982197
163,new norfolk,-42.7826,147.0587,289.1,93,100,0.69,AU,1706982218
164,kushiro,42.975,144.3747,261.68,72,6,3.09,JP,1706982218
165,lazaro cardenas,17.9583,-102.2,300.25,60,3,3.32,MX,1706982040
166,badger,64.8,-147.5333,234.46,59,100,1.54,US,1706982207
167,horta,38.5333,-28.6333,290.95,84,20,5.66,PT,1706982218
168,san juan de uraba,8.7592,-76.5297,301.46,74,89,3.55,CO,1706982218
169,hamilton,39.1834,-84.5333,281.81,68,0,3.6,US,1706981974
170,tazovsky,67.4667,78.7,258.72,93,100,2.98,RU,1706982149
171,canto do buriti,-8.11,-42.9444,306.98,36,50,2.92,BR,1706982218
172,dame-marie,18.5667,-74.4167,298.39,69,16,0.54,HT,1706982219
173,arteche,12.2645,125.4048,298.98,75,57,4.05,PH,1706982219
174,brisas de zicatela,15.8369,-97.0419,301.44,69,40,4.12,MX,1706982219
175,east london,-33.0153,27.9116,295.67,88,20,4.12,ZA,1706982219
176,santa isabel,-23.3156,-46.2214,299.99,72,100,0.94,BR,1706982219
177,isafjordur,66.0755,-23.124,268.16,90,100,3.45,IS,1706981940
178,areia branca,-4.9561,-37.1369,307.26,60,48,8.17,BR,1706982219
179,puerto baquerizo moreno,-0.9,-89.6,301.7,84,40,7.72,EC,1706982008
180,nar'yan-mar,67.6713,53.087,260.43,86,22,6.26,RU,1706982219
181,san jose del cabo,23.0589,-109.6977,297.92,50,0,0.45,MX,1706982219
182,cannonvale,-20.2833,148.7,300.81,74,90,3.73,AU,1706982220
183,kismayo,-0.3582,42.5454,299.86,83,71,7.57,SO,1706982007
184,fort mcmurray,56.7268,-111.381,269.92,93,100,5.14,CA,1706982031
185,manfalut,27.3104,30.97,287.29,35,0,3.78,EG,1706982220
186,sisimiut,66.9395,-53.6735,252.94,89,93,3.07,GL,1706982220
187,tolanaro,-25.0319,46.9987,298.19,83,20,8.23,MG,1706982220
188,baker city,44.7749,-117.8344,276.99,75,100,7.72,US,1706982119
189,kokoda,-8.8785,147.7407,296.66,89,100,2.29,PG,1706982220
190,pitkyaranta,61.5734,31.4792,272.88,85,100,4.13,RU,1706982220
191,port alfred,-33.5906,26.891,296.03,91,47,0.89,ZA,1706982146
192,coxim,-18.5067,-54.76,309.26,29,100,2.88,BR,1706982220
193,hengchun,22.0042,120.7439,296.8,83,98,6.23,TW,1706982220
194,umm al quwain city,25.5647,55.5552,294.33,46,81,8.55,AE,1706982221
195,arkhangel'sk,64.5401,40.5433,267.21,100,100,3.0,RU,1706982221
196,utrik,11.2278,169.8474,299.56,77,28,9.15,MH,1706982221
197,kourou,5.1552,-52.6478,305.18,66,83,3.64,GF,1706982221
